well_id,sord_id,Fluid,Well Type,Lateral Length m,Proppant tons,Fluid Pumped m3,Frac Stages,"Frac Spacing, m",Proppant tons / 100 m,Fluid Pumped m3 / 100 m,Gas Cum 90 days,Gas Cum 180 days,Gas Cum 365 days,Gas Cum 365 / 100 m
00/04-06-080-15W6/0,1W60801506040000,Gas,Horizontal,1383.3,16.99,238.14,2,,1.2282223668,17.2153545869,352655.936097202,572817.884270987,904662.471228814,65398.8629529975
00/08-13-078-17W6/0,1W60781713080000,Gas,Horizontal,1635.5,504.8,165.67,3,,30.8651788444,10.1296239682,397671.188587413,710776.043427762,1289294.33821429,78831.8152378043
00/10-08-079-18W6/0,1W60791808100000,Gas,Horizontal,1900.5,1040,5109.2,4,475.125,54.7224414628,268.8345172323,495825.047207703,842135.387694444,1374826.09018182,72340.2310014112
03/07-08-079-18W6/0,1W60791808070300,Gas,Horizontal,1900.5,1020,4196.8,4,475.125,53.6700868193,220.8260983952,530270.195425867,910999.533548387,1495626.26375,78696.462181005
00/15-31-081-19W6/0,1W60811931150000,Gas,Horizontal,1353,300,2144,3,451,22.1729490022,158.4626755358,402751.885092461,653814.890527183,1289320.15269542,95293.4333108219
00/09-29-078-19W6/0,1W60781929090000,Gas,Horizontal,1703.2,930,5283.3,4,425.8,54.603100047,310.1984499765,208696.610865672,325590.839845679,512948.344655172,30116.7417012196
00/05-07-080-18W6/0,1W60801807050000,Gas,Horizontal,1701.25,248,4990.48,4,425.3125,14.577516532,293.3419544453,410011.358853147,611769.58393617,942491.309917355,55399.9300465749
00/A-053-A/093-P-09/0,2093P09A053A0000,Gas,Horizontal,2105.5,838.3,1450.01,5,421.1,39.8147708383,68.8677273807,533606.823333334,846984.49125206,1257378.04515239,59718.738786625
02/16-17-080-18W6/0,1W60801817160200,Gas,Horizontal,1654,734,4587.9,4,413.5,44.377267231,277.3821039903,314447.836830295,517280.496797583,850577.807,51425.5022370012
03/13-28-078-19W6/0,1W60781928130300,Gas,Horizontal,1633.2,868,4555.4,4,408.3,53.1471956894,278.9248101886,107873.971134328,166004.462593193,260952.093587571,15977.9631145953
